date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
02-02-2015,226.490997,242.175003,222.658997,238.229004,30612100,52.0958508,47.64220274,-7.891878813,-12.66977867,247.8018175,241.5685381,247.8018175,244.3767905,-3.201652201,227.0015999,19.516006,21.59531034,21.66304722,227.268005
03-02-2015,237.453995,245.957001,224.483002,227.268005,40783700,44.58525258,44.16587598,20.03775955,-32.1941043,247.1978818,240.8141448,247.1978818,243.6901436,-3.506224082,229.4598503,21.473999,21.57788791,21.6483618,226.852997
04-02-2015,227.511002,230.057999,221.113007,226.852997,26594300,44.30311639,44.03486237,-45.05754118,-70.85906406,246.6165994,240.0874919,246.6165994,243.0278642,-3.735064404,230.3103004,8.944992,19.76496148,20.66768536,217.110992
05-02-2015,227.664993,239.404999,214.725006,217.110992,22516400,37.75931208,40.96302546,-61.04388656,-77.23654072,245.7969992,238.9067577,245.7969992,242.0279695,-4.603664118,230.761,24.679993,20.46985064,20.97565119,222.266006
06-02-2015,216.923004,230.509995,216.231995,222.266006,24435300,42.96047237,43.22018206,-59.06764879,-75.69714551,245.1610264,238.0618944,245.1610264,241.27959,-4.840905783,231.9113006,14.278,19.58234157,20.46429489,227.753998
07-02-2015,222.632996,230.298996,222.606995,227.753998,21604200,48.32393992,45.60452477,-4.973003277,-49.96175573,244.7029467,237.544533,244.7029467,240.7764702,-4.554698479,232.7820502,8.03299,17.92770569,19.51982894,223.412003
08-02-2015,227.692993,229.438004,221.076996,223.412003,17145200,44.46465123,44.02917931,-50.74782899,-57.52119084,244.1570251,236.8429107,244.1570251,240.1415975,-4.608927297,233.2096008,8.361008,16.55767873,18.67587651,220.110001
09-02-2015,223.389008,223.977005,217.018997,220.110001,27791300,41.52251117,42.81784133,-121.4227501,-88.89775044,243.5558495,236.0207653,243.5558495,239.4212824,-4.850710198,233.6493507,6.958008,15.18341184,17.7933515,219.839005
10-02-2015,220.281998,221.807007,215.332001,219.839005,21115100,41.26110152,42.71397734,-131.6856786,-107.8718258,242.9773898,235.2335075,242.9773898,238.7283206,-5.00509718,233.2964508,6.475006,13.93711099,16.944216,219.184998
11-02-2015,219.731995,223.406006,218.074005,219.184998,17201900,40.54245659,42.44637799,-67.35214852,-89.37802533,242.4109043,234.4600305,242.4109043,238.0473503,-5.118845219,232.5854004,5.332001,12.7059104,16.07615367,221.764008
12-02-2015,219.207993,222.199005,217.613998,221.764008,15206200,44.95330579,43.93793363,-44.24667076,-76.37029072,241.9307439,233.8535769,241.9307439,237.4883793,-4.950449682,232.0296509,4.585007,11.54424542,15.21998904,235.427002
13-02-2015,221.968994,240.259003,221.261993,235.427002,42744400,62.25843357,51.15939901,152.8283804,125.6451685,241.7829316,233.9280977,241.7829316,237.41863,-3.706054157,231.408651,18.99701,12.61013403,15.500538,257.321014
14-02-2015,235.528,259.808014,235.528,257.321014,49732500,76.22906623,60.04173191,190.1038074,264.6478731,242.1282223,235.0270847,242.1282223,238.0827324,-0.993292474,231.5888016,24.381012,14.29332307,16.15828631,234.824997
15-02-2015,257.506989,265.610992,227.684006,234.824997,56552400,52.79991913,49.98319096,82.35084879,131.2440342,241.9694566,235.0176639,241.9694566,237.9754833,-0.603965303,229.6564019,37.926986,17.6723741,17.76638177,233.843002
16-02-2015,234.824997,239.520996,229.022003,233.843002,28153700,51.98620026,49.59263141,18.50369919,52.99725161,241.7965533,234.9633064,241.7965533,237.841198,-0.368549975,228.1748016,10.498993,16.64687349,17.23083439,243.610001
17-02-2015,233.421997,245.774994,232.313995,243.610001,27363100,59.26994596,53.48565256,46.23473765,97.0497792,241.8343334,235.3606276,241.8343334,238.026306,0.581210929,228.6595521,13.460999,16.19146999,16.95365556,236.326004
18-02-2015,243.779999,244.251007,232.339996,236.326004,25200800,52.35902883,50.36182201,6.553780935,61.60849743,241.7219186,235.4046905,241.7219186,237.9724093,0.74975212,228.8002022,11.911011,15.57965505,16.58366867,240.283005
19-02-2015,236.410004,242.671997,235.591995,240.283005,18270500,55.6374226,52.0018664,-2.53170564,65.42303719,241.6931403,235.6259306,241.6931403,238.0447902,1.18260087,229.4931024,7.080002,14.36487294,15.88772171,243.779007
20-02-2015,240.251007,247.100998,239.298996,243.779007,23876700,58.57566964,53.46475735,37.66976704,82.59218132,240.2837406,235.9934317,241.7340396,238.222372,1.781883992,230.8088525,7.802002,13.42695864,15.29667436,244.533997
21-02-2015,243.751999,255.320007,243.184006,244.533997,12284200,59.25558668,53.79229124,141.133373,98.09806629,238.8737802,236.3761565,241.787885,238.4156768,2.290123231,231.6869523,12.136001,13.24247521,15.06602145,235.977005
22-02-2015,244.544006,246.391998,233.850998,235.977005,19527000,48.68853463,49.53664551,-31.97765325,29.18562909,237.9716803,236.358369,241.6782457,238.3417879,1.990169115,231.5743523,12.541,13.14223609,14.88204047,238.891998
23-02-2015,235.994995,240.108994,232.421005,238.891998,16400000,52.08450362,50.95994867,-84.52149618,9.583385648,237.4656201,236.470675,241.6266485,238.3582855,1.961633693,232.155552,7.687989,12.36286887,14.35861023,238.735001
24-02-2015,238.998001,239.901001,236.401993,238.735001,14200400,51.86880064,50.87671886,-45.09783858,10.1696582,236.7508402,236.5705335,241.5740731,238.3694671,1.904523006,232.7496522,3.499008,11.09633968,13.56952869,237.470001
25-02-2015,238.889999,239.339996,235.529999,237.470001,11496200,49.92517268,50.16576531,-64.3717871,-16.95987123,235.7764603,236.6100079,241.5007861,238.3430305,1.738386688,233.7676027,3.809997,10.05524803,12.86125427,236.425995
26-02-2015,237.337006,237.710007,234.257004,236.425995,13619400,48.18660145,49.55035319,-75.95013492,-64.06236988,234.6182401,236.6019697,241.4117547,238.2872212,1.506077716,234.4756021,3.453003,9.111926057,12.17925339,253.828003
27-02-2015,236.436005,256.653015,236.436005,253.828003,44013900,69.10717814,58.65499217,126.4758282,129.596023,234.0278202,237.3510971,241.6258279,238.7354755,2.680243606,235.7793024,20.22702,10.70000457,12.76201485,254.263
28-02-2015,253.520004,254.692001,249.479004,254.263,13949300,69.46671121,58.85488374,140.1846705,181.6042561,233.3049204,238.0834347,241.8400173,239.1793343,3.603805814,237.3218522,5.212997,9.916058357,12.2159067,260.201996
01-03-2015,254.283005,261.660004,245.932999,260.201996,25213700,74.24169691,61.58560192,107.6566999,167.9195491,233.0130405,239.0373377,242.1460503,239.7750408,4.755588077,239.326452,15.727005,10.74627346,12.46967352,275.670013
02-03-2015,260.356995,276.300995,258.312988,275.670013,40465700,82.53898763,67.6142372,149.3910921,226.6722151,233.2132407,240.6110332,242.6956234,240.7835678,6.827034845,242.1180024,17.988007,11.78089214,12.86817697,281.701996
03-03-2015,275.04599,285.79599,268.161011,281.701996,50461300,84.77084807,69.61672429,135.680666,207.7886468,233.4913608,242.3696686,243.3247585,241.9237793,8.849281438,245.2438523,17.634979,12.61724938,13.21213867,273.09201
04-03-2015,281.98999,284.225006,268.126007,273.09201,41383000,69.89355632,63.57413504,80.63795486,142.162903,234.4359811,243.6798474,243.7972545,242.7853496,9.650703798,247.8102524,16.098999,13.11467232,13.42029623,276.178009
05-03-2015,272.739014,281.666992,264.769012,276.178009,41302400,71.9519134,64.75495998,56.50017568,110.3424934,236.3974814,245.0610198,244.3032038,243.7012278,10.41295698,249.8478027,16.89798,13.65517291,13.67088566,272.722992
06-03-2015,275.600006,277.608002,270.015015,272.722992,28918900,66.05321218,62.31918859,39.76976317,88.16514349,237.6550613,246.2328056,244.7404313,244.4911992,10.61743469,250.6179016,7.592987,12.7891078,13.23320885,276.260986
07-03-2015,272.294006,277.854004,270.132996,276.260986,17825900,69.08143021,63.81999175,40.36025712,79.44986885,239.0183411,247.5008378,245.2180155,245.349604,10.93711715,252.6897011,7.721008,12.06506592,12.83649976,274.354004
08-03-2015,276.433014,277.858002,272.565002,274.354004,22067900,65.41213166,62.37784959,20.00942209,68.75428156,240.5202212,248.6313897,245.652881,246.1276736,10.91150616,254.7152512,5.293,11.09759629,12.29389295,289.606995
09-03-2015,274.812012,292.700989,273.893005,289.606995,59178200,76.874389,68.50768742,191.4112408,100.5867276,242.105581,250.3515502,246.299265,247.2859109,11.97772444,257.0151009,18.807984,12.19911113,12.76221899,291.76001
10-03-2015,289.862,300.044006,289.743011,291.76001,67770800,78.07113332,69.26882174,162.2714121,125.5920747,243.6435614,252.0850898,246.9581164,248.462603,12.84739143,259.7868012,10.437011,11.94737649,12.5951276,296.378998
11-03-2015,291.524994,297.390991,290.507996,296.378998,33963900,80.58576821,70.89408058,105.1783299,126.0850252,245.3448413,253.9345283,247.664129,249.7219887,13.74910598,262.5916008,6.882995,11.22387852,12.18482634,294.354004
12-03-2015,296.127014,297.088013,292.412994,294.354004,32585200,76.12111639,69.16703393,77.17516942,125.6752956,246.6939813,255.6179219,248.3217329,250.8874974,14.1378536,265.1203507,4.675019,10.28831065,11.64561482,285.337006
13-03-2015,294.118011,294.497986,285.337006,285.337006,31421500,59.10870998,61.93212617,16.09731977,71.95064189,247.7326013,256.8526614,248.8358339,251.7814604,13.56452011,267.1605011,9.16098,10.12726097,11.46728202,281.88501
14-03-2015,284.441986,286.34201,280.976013,281.88501,22612300,53.74400631,59.37173353,-55.3900944,24.90416134,248.7127216,257.8902619,249.2885623,252.5578726,12.68623827,269.4559014,5.365997,9.447071586,11.0295182,286.393005
15-03-2015,281.424988,286.528992,280.996002,286.393005,11970100,59.36319644,61.60413773,-69.4093013,25.1621141,249.4836417,259.0690774,249.7899737,253.4253319,12.21199756,271.8309517,5.53299,8.887910858,10.63527184,290.592987
16-03-2015,285.684998,294.112,285.684998,290.592987,21516100,64.10313804,63.6103247,3.54982142,65.46964175,250.2211414,260.3700551,250.3340139,254.3727012,12.03529474,274.423851,8.427002,8.822066108,10.47692769,285.505005
17-03-2015,290.595001,292.36499,284.373993,285.505005,21497200,55.03106935,59.55095565,-29.64845667,34.12726525,250.4617816,261.4052372,250.7967901,255.1617475,11.35485189,276.8256012,7.990997,8.70334098,10.29872312,256.299011
18-03-2015,285.066986,285.335999,249.869995,256.299011,57008000,28.25345704,42.70430164,-217.4328458,-165.3351961,250.3182617,261.1953507,250.8682475,255.1904125,8.368262397,277.819252,35.63501,12.5507492,12.11449517,260.928009
